row_id,column,error_type,confidence,suggested_fix
0,Score,MV,0.98,
0,Sample,MV,0.98,
0,MeasureName,VAD,0.99,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery
1,Score,MV,0.95,
1,Sample,MV,0.95,
2,Score,MV,0.95,
2,Sample,MV,0.95,
3,Score,MV,1.0,
3,Sample,MV,1.0,
3,City,T,1.0,birmingham
4,Score,MV,0.95,
4,Sample,MV,0.95,
5,Score,MV,0.95,
5,Sample,MV,0.95,
6,Score,MV,0.99,
6,Sample,MV,0.99,
7,Score,MV,0.99,
7,Sample,MV,0.99,
7,City,T,0.99,birmingham
10,City,T,0.95,sheffield
13,ProviderNumber,FI,0.95,
13,Score,MV,0.99,
14,Score,MV,0.95,
16,HospitalType,T,1.0,acute care hospitals
17,Sample,FI,0.95,3 patients
17,CountyName,VAD,0.98,colbert
21,Condition,T,0.95,heart attack
22,HospitalOwner,T,0.99,government - hospital district or authority
22,Condition,T,0.99,heart attack
24,PhoneNumber,FI,0.95,
24,Score,MV,0.99,
24,EmergencyService,T,0.9,yes
26,HospitalName,T,0.95,southeast alabama medical center
27,HospitalOwner,T,0.95,government - hospital district or authority
31,HospitalOwner,T,0.99,government - hospital district or authority
36,PhoneNumber,FI,1.0,
39,HospitalType,T,0.95,acute care hospitals
42,HospitalOwner,T,0.95,government - hospital district or authority
42,State,VAD,0.98,al
43,EmergencyService,T,0.95,yes
43,MeasureName,FI,0.9,patients who got treatment at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
44,ZipCode,FI,0.95,35957
45,ProviderNumber,FI,0.9,00005
46,State,T,0.95,al
49,Score,MV,1.0,
50,Score,MV,0.95,
50,State,T,0.99,al
51,EmergencyService,T,0.95,yes
56,Stateavg,FI,0.85,al_pn-3b
56,City,T,0.99,boaz
57,PhoneNumber,MV,1.0,
57,Address,FI,1.0,2505 u s highway 431 north
60,PhoneNumber,FI,0.95,
63,ZipCode,FI,0.95,
65,PhoneNumber,FI,0.95,
65,HospitalName,FI,0.95,Marshall Medical Center South
67,CountyName,T,0.95,marshall
70,ZipCode,FI,0.95,35630
72,CountyName,T,0.98,lauderdale
73,Condition,T,0.95,heart attack
74,Score,MV,0.95,
77,CountyName,T,0.95,lauderdale
79,City,T,0.95,florence
81,ProviderNumber,FI,0.95,
83,State,VAD,0.95,al
88,City,T,0.95,florence
91,Sample,T,0.95,619 patients
93,ZipCode,FI,0.99,35630
93,City,T,0.95,florence
94,MeasureName,T,0.99,heart attack patients given aspirin at arrival
94,Address,T,0.95,702 n main st
97,Score,MV,1.0,
97,MeasureCode,VAD,0.95,ami-4
98,HospitalType,T,0.95,acute care hospitals
98,State,VAD,0.99,al
99,Score,MV,0.95,
101,PhoneNumber,FI,0.99,334433541
101,MeasureCode,FI,0.9,hf-1
106,Address,T,0.98,702 n main st
108,MeasureCode,T,0.95,pn-5c
111,MeasureName,T,0.98,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery
113,HospitalOwner,T,0.98,voluntary non-profit - private
115,Score,MV,1.0,
115,Sample,T,1.0,0 patients
119,MeasureName,T,0.99,heart attack patients given aspirin at arrival
119,State,VAD,0.99,al
120,Score,FI,0.95,100%
120,MeasureCode,VAD,0.99,ami-2
121,Score,MV,0.95,
125,Score,MV,1.0,
127,Condition,T,0.95,heart failure
131,HospitalName,T,0.99,crenshaw community hospital
133,Sample,T,0.95,21 patients
136,CountyName,T,0.98,crenshaw
137,ZipCode,FI,0.98,36049
139,ZipCode,FI,0.95,36049
140,State,T,0.95,al
145,MeasureName,T,0.95,heart attack patients given aspirin at discharge
149,ZipCode,FI,0.95,35640
157,ZipCode,FI,0.95,35640
157,HospitalOwner,T,0.9,proprietary
158,Score,FI,0.9,90%
159,HospitalOwner,T,0.98,proprietary
161,Address,T,0.95,201 pine street northwest
162,HospitalOwner,T,0.95,proprietary
163,Score,FI,0.95,7%
164,HospitalOwner,OTHER,0.95,
165,State,T,0.95,al
166,Sample,FI,0.95,
170,Sample,FI,0.95,6 patients
171,HospitalName,T,0.95,marshall medical center north
174,Score,MV,0.98,
175,Score,MV,0.9,
175,Address,T,0.99,8000 alabama highway 69
177,MeasureCode,FI,0.9,
180,City,T,0.95,guntersville
182,State,T,0.98,al
187,Score,T,0.95,95%
190,MeasureCode,T,0.99,scip-inf-4
193,Stateavg,VAD,0.95,al_scip-vte-2
196,ZipCode,FI,0.95,35233
199,HospitalType,T,0.95,acute care hospitals
199,Condition,T,0.95,heart attack
207,City,T,0.95,birmingham
208,Score,FI,0.95,
210,MeasureName,VAD,0.99,pneumonia patients assessed and given influenza vaccination
212,City,T,0.95,birmingham
213,ProviderNumber,FI,1.0,
213,HospitalType,T,0.95,acute care hospitals
216,HospitalOwner,T,0.99,voluntary non-profit - private
216,CountyName,T,0.99,jefferson
217,PhoneNumber,FI,0.9,
218,HospitalOwner,T,0.95,voluntary non-profit - private
221,HospitalOwner,FI,0.95,voluntary non-profit - church
221,CountyName,T,0.95,de kalb
223,CountyName,T,0.95,de kalb
224,Sample,T,0.99,1 patients
225,Condition,T,0.95,heart attack
227,CountyName,T,0.95,de kalb
228,PhoneNumber,FI,0.98,
228,City,T,1.0,fort payne
228,State,VAD,1.0,al
229,Condition,T,0.95,heart failure
232,ZipCode,FI,0.9,35968
234,Sample,T,1.0,82 patients
236,Condition,T,0.99,surgical infection prevention
237,Score,FI,0.95,
238,HospitalOwner,T,1.0,voluntary non-profit - church
238,Score,MV,1.0,
238,CountyName,T,1.0,de kalb
239,Condition,T,0.95,surgical infection prevention
240,Score,MV,0.9,
243,HospitalName,T,0.95,dekalb regional medical center
244,ProviderNumber,FI,0.9,
244,Score,MV,0.95,
244,Stateavg,T,0.95,al_ami-1
245,Score,MV,1.0,
247,PhoneNumber,FI,0.95,
247,HospitalOwner,T,0.97,government - federal
248,Stateavg,T,0.98,al_ami-5
249,Score,MV,0.95,
250,Score,MV,0.95,
252,Score,FI,0.95,89%
252,CountyName,T,0.95,clarke
253,ProviderNumber,FI,0.95,10015
256,Condition,T,0.95,pneumonia
256,Score,FI,0.9,96%
256,MeasureName,T,0.99,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics
260,Address,T,0.95,33700 highway 43
261,PhoneNumber,FI,0.99,
261,Score,MV,0.99,
261,Sample,MV,0.99,
264,Address,T,0.95,33700 highway 43
264,MeasureCode,T,0.97,scip-inf-3
266,HospitalType,T,0.95,acute care hospitals
267,ZipCode,FI,0.95,36784
269,Stateavg,T,0.9,al_ami-1
273,ProviderNumber,FI,0.95,
274,Score,MV,0.95,
275,Address,T,1.0,1000 first street north
278,State,T,0.95,al
279,Condition,T,0.95,heart failure
281,MeasureName,T,0.95,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics
283,ZipCode,T,0.95,35007
290,ZipCode,FI,0.98,35007
290,MeasureName,T,0.99,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
293,HospitalType,T,0.95,acute care hospitals
294,Score,MV,1.0,
294,Sample,MV,1.0,
295,Score,MV,0.99,
295,Sample,MV,0.99,
295,Address,T,0.99,1720 university blvd
296,Score,MV,0.95,
296,Sample,MV,0.95,
297,Score,MV,1.0,
297,Sample,MV,1.0,
298,Score,MV,0.99,
298,Sample,MV,0.99,
299,Score,MV,1.0,
299,Sample,MV,1.0,
300,Score,MV,1.0,
300,Sample,MV,1.0,
301,Score,MV,1.0,
301,Sample,MV,1.0,
302,Score,MV,0.95,
302,Sample,MV,0.95,
303,Score,MV,0.99,
303,Sample,MV,0.99,
304,Score,MV,0.98,
304,Sample,MV,0.98,
305,Score,MV,1.0,
305,Sample,MV,1.0,
306,Score,MV,0.98,
306,Sample,MV,0.98,
307,Score,MV,0.99,
307,Sample,MV,0.99,
308,Score,MV,0.99,
308,Sample,MV,0.99,
309,Score,MV,0.95,
309,Sample,MV,0.95,
310,Score,MV,1.0,
310,Sample,MV,1.0,
311,City,T,1.0,anniston
312,CountyName,T,0.95,calhoun
313,HospitalOwner,T,0.95,proprietary
314,ProviderNumber,FI,0.95,
316,Sample,T,0.95,29 patients
316,Address,VAD,0.99,301 east 18th st
318,EmergencyService,T,0.9,yes
321,PhoneNumber,T,0.95,2562358900
324,CountyName,T,0.99,calhoun
325,ZipCode,FI,0.95,36201
332,ZipCode,FI,0.9,36305
332,HospitalOwner,T,0.99,proprietary
332,EmergencyService,T,0.9,yes
334,Stateavg,T,0.95,al_pn-2
334,Address,T,0.95,4370 west main street
336,Score,FI,0.95,100%
337,HospitalName,T,0.95,flowers hospital
340,ZipCode,FI,0.95,36305
342,PhoneNumber,FI,0.98,
342,Sample,OTHER,0.6,
345,Sample,FI,0.9,
346,CountyName,T,0.95,houston
346,MeasureName,T,0.99,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
347,Stateavg,FI,0.9,al_scip-vte-2
349,MeasureCode,T,0.95,ami-2
350,Address,T,0.98,810 st vincents drive
354,Sample,FI,0.95,1 patients
356,HospitalOwner,T,0.99,proprietary
356,State,VAD,0.95,al
357,Condition,OTHER,0.5,
360,ProviderNumber,FI,1.0,
360,Score,MV,1.0,
363,Address,T,0.95,1530 u s highway 43
366,ZipCode,FI,0.98,35594
366,Condition,T,0.97,pneumonia
367,City,T,0.95,winfield
369,Condition,T,0.99,pneumonia
370,Stateavg,T,0.95,al_pn-7
373,Stateavg,T,0.95,al_scip-inf-2
374,EmergencyService,T,0.95,yes
375,ZipCode,FI,0.95,35594
378,Score,T,0.9,95%
380,MeasureName,VAD,0.95,heart attack patients given aspirin at discharge
381,PhoneNumber,FI,1.0,
384,PhoneNumber,FI,1.0,
384,Score,MV,1.0,
384,HospitalName,T,0.95,univ of south alabama medical center
385,HospitalName,T,0.95,univ of south alabama medical center
386,PhoneNumber,FI,1.0,
386,Condition,T,1.0,heart failure
386,State,T,1.0,al
387,Stateavg,VAD,0.95,al_hf-2
389,MeasureName,T,0.95,heart failure patients given smoking cessation advice/counseling
389,EmergencyService,T,0.8,yes
391,MeasureCode,T,0.95,pn-3b
393,PhoneNumber,FI,0.9,334361267
393,Address,T,0.95,124 s memorial dr
394,Score,MV,0.95,
396,Score,MV,0.98,
400,Condition,T,0.95,heart failure
402,State,T,0.95,al
405,Score,FI,0.95,94%
406,ZipCode,FI,0.95,36067
408,ProviderNumber,FI,0.95,10008
408,HospitalName,T,0.9,prattville baptist hospital
409,MeasureCode,FI,0.5,
409,Condition,OTHER,0.5,
411,HospitalType,T,0.95,acute care hospitals
411,Score,FI,0.9,
411,Address,T,0.99,124 s memorial dr
413,HospitalType,T,0.9,acute care hospitals
413,Sample,T,0.95,125 patients
415,Address,T,0.95,315 w hickory st
415,CountyName,T,0.95,talladega
418,Sample,T,0.98,4 patients
418,EmergencyService,VAD,0.94,no
419,Score,MV,0.99,
420,ZipCode,FI,0.9,35150
420,Score,MV,0.95,
426,Score,FI,0.9,97%
428,ZipCode,FI,0.95,35150
431,Address,FI,0.9,315 w hickory st
434,MeasureName,T,0.99,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd)
437,City,T,0.98,anchorage
444,Sample,T,0.99,521 patients
447,MeasureName,T,1.0,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor)
448,HospitalName,T,0.99,alaska regional hospital
449,HospitalOwner,T,0.95,proprietary
450,Score,MV,0.95,
450,Sample,MV,0.95,
451,Score,MV,0.99,
451,Sample,MV,0.99,
453,HospitalType,T,0.95,acute care hospitals
453,CountyName,VAD,0.95,colbert
456,HospitalOwner,T,0.95,government - hospital district or authority
456,CountyName,VAD,0.9,colbert
457,CountyName,VAD,0.95,colbert
462,Score,MV,0.99,
462,Sample,MV,0.9,
464,MeasureCode,VAD,0.95,scip-vte-1
465,CountyName,VAD,0.9,colbert
465,MeasureName,FI,0.95,patients who got treatment at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
467,Condition,T,0.95,heart attack
468,Score,MV,0.95,
471,PhoneNumber,FI,0.95,
472,Address,T,0.98,126 hospital ave
473,MeasureName,T,0.98,heart failure patients given discharge instructions
474,City,T,0.95,ozark
477,Stateavg,VAD,0.95,al_pn-2
477,State,VAD,0.95,al
482,Sample,T,0.95,62 patients
483,State,T,0.95,al
484,Address,T,0.95,126 hospital ave
485,City,T,0.95,ozark
488,Score,FI,0.95,
490,ZipCode,FI,0.95,36360
490,HospitalType,T,0.9,acute care hospitals
492,EmergencyService,VAD,0.5,yes
492,Condition,OTHER,0.5,
493,HospitalType,T,0.95,acute care hospitals
493,HospitalOwner,T,0.95,voluntary non-profit - private
493,MeasureName,VAD,0.98,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd)
494,Score,MV,0.95,
495,MeasureCode,FI,0.9,ami-2
495,Score,MV,0.95,
496,Score,MV,0.99,
496,Sample,T,0.95,0 patients
497,HospitalType,T,0.8,acute care hospitals
497,Score,MV,1.0,
499,ZipCode,FI,0.95,35960
502,Sample,T,0.95,44 patients
502,CountyName,T,0.95,cherokee
504,State,T,0.95,al
506,Condition,T,0.95,pneumonia
506,Score,FI,0.9,93%
507,MeasureName,T,0.99,pneumonia patients assessed and given influenza vaccination
508,Score,MV,0.95,
508,Sample,MV,0.95,
511,HospitalType,T,0.95,acute care hospitals
512,Score,MV,0.95,
513,CountyName,T,0.95,cherokee
514,Score,FI,0.95,
516,PhoneNumber,FI,1.0,
517,City,T,0.99,montgomery
521,Score,MV,0.95,
521,EmergencyService,T,0.9,yes
523,Sample,FI,0.95,25 patients
526,HospitalOwner,T,0.95,voluntary non-profit - church
527,CountyName,T,0.99,montgomery
532,HospitalType,T,0.95,acute care hospitals
532,Sample,T,0.95,87 patients
532,HospitalName,T,1.0,baptist medical center south
532,MeasureName,T,0.99,pneumonia patients assessed and given influenza vaccination
536,EmergencyService,T,0.9,yes
540,CountyName,T,0.95,montgomery
544,ZipCode,FI,0.99,
545,MeasureName,T,0.99,heart attack patients given beta blocker at discharge
546,Score,MV,0.98,
546,Sample,FI,0.97,
548,PhoneNumber,FI,0.5,
551,CountyName,T,0.95,montgomery
554,Sample,T,0.95,74 patients
555,Condition,T,0.95,pneumonia
555,Stateavg,VAD,0.98,al_pn-5c
559,ProviderNumber,FI,1.0,
559,State,VAD,1.0,al
