row_id,column,error_type,confidence,suggested_fix
1,act_arr_time,MV,0.95,
2,act_dep_time,MV,1.0,
2,act_arr_time,MV,1.0,
5,act_dep_time,MV,1.0,
5,sched_arr_time,FI,0.9,6:55 a.m.
5,act_arr_time,MV,1.0,
31,act_dep_time,MV,0.95,
31,sched_arr_time,FI,0.9,5:50 a.m.
31,act_arr_time,MV,0.95,
32,act_dep_time,MV,0.95,
32,sched_arr_time,FI,0.7,12:15 a.m.
32,act_arr_time,MV,0.95,
33,act_dep_time,MV,0.95,
33,act_arr_time,MV,0.95,
36,act_dep_time,MV,0.95,
36,act_arr_time,MV,0.95,
37,act_arr_time,MV,0.95,
50,sched_dep_time,MV,0.95,
50,sched_arr_time,MV,0.95,
51,act_dep_time,MV,1.0,
51,act_arr_time,MV,1.0,
52,sched_dep_time,MV,0.95,
52,sched_arr_time,MV,0.95,
53,sched_dep_time,MV,1.0,
53,sched_arr_time,MV,1.0,
54,sched_dep_time,MV,0.95,
54,sched_arr_time,MV,0.95,
55,sched_dep_time,MV,0.95,
55,sched_arr_time,MV,0.95,
56,sched_dep_time,MV,0.95,
56,sched_arr_time,MV,0.95,
57,act_dep_time,MV,0.95,
57,act_arr_time,MV,0.95,
58,sched_dep_time,MV,0.95,
58,sched_arr_time,MV,0.95,
59,sched_dep_time,MV,1.0,
59,sched_arr_time,MV,1.0,
60,sched_dep_time,MV,0.95,
60,sched_arr_time,MV,0.95,
61,sched_dep_time,MV,1.0,
61,sched_arr_time,MV,1.0,
62,act_dep_time,MV,0.95,
62,act_arr_time,MV,0.95,
63,sched_dep_time,MV,1.0,
63,sched_arr_time,MV,1.0,
64,act_dep_time,MV,1.0,
64,act_arr_time,MV,1.0,
65,act_dep_time,MV,0.95,
65,act_arr_time,MV,0.95,
66,sched_dep_time,MV,1.0,
66,sched_arr_time,MV,1.0,
67,sched_dep_time,MV,0.95,
67,sched_arr_time,MV,0.95,
68,sched_dep_time,MV,1.0,
68,sched_arr_time,MV,1.0,
69,sched_dep_time,MV,0.5,
69,sched_arr_time,MV,0.5,
69,src,OTHER,0.5,
70,sched_dep_time,MV,0.95,
70,sched_arr_time,MV,0.95,
71,act_dep_time,MV,0.99,
71,act_arr_time,MV,0.99,
72,act_dep_time,MV,0.95,
72,act_arr_time,MV,0.95,
73,sched_dep_time,MV,0.95,
73,sched_arr_time,MV,0.95,
74,sched_dep_time,MV,0.95,
74,sched_arr_time,MV,0.95,
75,act_dep_time,MV,1.0,
75,act_arr_time,MV,1.0,
76,sched_dep_time,MV,0.95,
76,sched_arr_time,MV,0.95,
77,sched_dep_time,MV,0.95,
77,sched_arr_time,MV,0.95,
78,act_dep_time,MV,0.95,
78,act_arr_time,MV,0.95,
79,act_dep_time,MV,0.95,
79,act_arr_time,MV,0.95,
80,sched_dep_time,MV,0.9,
80,sched_arr_time,MV,0.9,
81,sched_dep_time,MV,1.0,
81,sched_arr_time,MV,1.0,
82,sched_dep_time,MV,1.0,
82,sched_arr_time,MV,1.0,
83,sched_dep_time,MV,1.0,
83,sched_arr_time,MV,1.0,
84,sched_dep_time,MV,1.0,
84,sched_arr_time,MV,1.0,
