row_id,column,value,prior_error_type,prior_source,is_error,error_type,confidence,suggested_fix,llm_reason
1,act_arr_time,,MV,stage1,True,MV,0.95,,实际到达时间为空，明显缺失
2,act_dep_time,,MV,stage1,True,MV,1.0,,单元格为空 (NaN)，缺少实际出发时间，且无法从同行其他列可靠推断。
2,act_arr_time,,MV,stage1,True,MV,1.0,,单元格为空 (NaN)，缺少实际到达时间，且无法从同行其他列可靠推断。
5,act_dep_time,,MV,stage1,True,MV,1.0,,实际起飞时间缺失
5,sched_arr_time,12/02/2011 6:55 a.m.,FI,stage1,True,FI,0.9,6:55 a.m.,格式包含日期，而该列正常为时间格式，且同行sched_dep_time无日期，不一致
5,act_arr_time,,MV,stage1,True,MV,1.0,,实际到达时间缺失
24,flight,AA-3-JFK-LAX,DIST,stage2,False,NONE,0.95,,航班号'3'虽为单数字但格式合法，且与起降机场JFK-LAX一致，整行上下文无矛盾，属分布误报。
31,act_dep_time,,MV,stage1,True,MV,0.95,,值缺失，符合缺失值定义，无法从上下文推断
31,sched_arr_time,12/02/2011 5:50 a.m.,FI,stage1,True,FI,0.9,5:50 a.m.,包含不必要的日期部分，与列典型格式（时间+午别）不符，应仅保留时间部分
31,act_arr_time,,MV,stage1,True,MV,0.95,,值缺失，符合缺失值定义，无法从上下文推断
32,act_dep_time,,MV,stage1,True,MV,0.95,,实际起飞时间缺失，值为空/NaN，应填充时间。
32,sched_arr_time,12/02/2011 12:15 a.m.,FI,stage1,True,FI,0.7,12:15 a.m.,该列常规格式为'小时:分钟 午别'，无日期前缀；当前值包含日期，与其他样本不一致，应仅保留时间。
32,act_arr_time,,MV,stage1,True,MV,0.95,,实际到达时间缺失，值为空/NaN，应填充时间。
33,act_dep_time,,MV,stage1,True,MV,0.95,,实际出发时间缺失，同行有计划时间但无其他可推断信息。
33,act_arr_time,,MV,stage1,True,MV,0.95,,实际到达时间缺失，同行有计划时间但无其他可推断信息。
36,act_dep_time,,MV,stage1,True,MV,0.95,,实际出发时间缺失，该列在非缺失行中均有有效时间值
36,act_arr_time,,MV,stage1,True,MV,0.95,,实际到达时间缺失，该列在非缺失行中均有有效时间值
37,act_arr_time,,MV,stage1,True,MV,0.95,,实际到达时间字段为空，明显为缺失值，且无跨列依赖可推断具体值
50,sched_dep_time,,MV,stage1,True,MV,0.95,,缺失值，且无法从上下文推断
