row_id,column,value,error_type,anomaly_score,col_contribution,subtype
327,EmergencyService,yex,DIST,9.289227485656738,36.129624737565806,cell
919,EmergencyService,yex,DIST,11.250846862792969,35.931591001628185,cell
212,City,bxrmxngham,DIST,4.907970428466797,35.805751136649725,cell
51,EmergencyService,yxs,DIST,6.415767669677734,35.30439851642898,cell
43,EmergencyService,yex,DIST,11.642049789428711,35.264951658070935,cell
921,EmergencyService,yxs,DIST,10.73073959350586,35.06793435826356,cell
587,EmergencyService,xes,DIST,14.126558303833008,35.02501277302206,cell
821,City,gxdsden,DIST,13.40829086303711,35.00945020608928,cell
866,EmergencyService,yxs,DIST,11.598043441772461,34.925564776245196,cell
962,HospitalName,medxcal center enterprxse,DIST,6.189487457275391,34.85557958292609,cell
564,EmergencyService,xes,DIST,11.423872947692871,34.84739626957709,cell
889,EmergencyService,yex,DIST,11.247167587280273,34.77191161111805,cell
332,EmergencyService,yex,DIST,15.465035438537598,34.748330863927904,cell
171,HospitalName,marshall medical cenxer norxh,DIST,14.60551929473877,34.742445118524664,cell
758,HospitalName,andaxusia regionax hospitax,DIST,13.116958618164062,34.644822613866175,cell
560,HospitalName,jaxkson hospital & xlinix inx,DIST,14.642688751220703,34.448246375591516,cell
517,City,montxomery,DIST,8.165682792663574,34.44417176437402,cell
318,EmergencyService,xes,DIST,25.7131290435791,34.42869310770021,cell
26,HospitalName,southeast alabama medxcal center,DIST,7.640125274658203,34.39756826033557,cell
532,HospitalName,baptist medical cexter south,DIST,13.583505630493164,34.3792710039537,cell
765,HospitalName,andaluxia regional hoxpital,DIST,9.796361923217773,34.29805175396261,cell
777,HospitalName,huntsvxlle hospxtal,DIST,10.639632225036621,34.25101309298152,cell
809,EmergencyService,xes,DIST,7.582572937011719,34.244912318847376,cell
697,HospitalName,communitx hospital inc,DIST,13.535462379455566,34.186257088662366,cell
922,HospitalName,riverview rexional medical center,DIST,12.556344985961914,34.16614581857207,cell
987,HospitalName,st vincents bxount,DIST,8.691040992736816,34.10412369003081,cell
119,State,ax,DIST,13.50615406036377,33.994089763334195,cell
938,HospitalName,georgiaxa hospital,DIST,7.103879928588867,33.95827127444412,cell
674,EmergencyService,yex,DIST,10.432571411132812,33.9115698058074,cell
791,State,xl,DIST,9.879565238952637,33.84930377850154,cell
207,City,birmixgham,DIST,10.965644836425781,33.844127254729294,cell
921,HospitalName,xivexview xegional medical centex,DIST,10.73073959350586,33.79427872177315,cell
83,State,xl,DIST,11.471111297607422,33.786272265023484,cell
374,EmergencyService,yex,DIST,8.10102367401123,33.7692687475731,cell
710,HospitalName,communixy hospixal inc,DIST,14.550276756286621,33.75403332787655,cell
536,EmergencyService,yex,DIST,11.965044021606445,33.722532671685514,cell
157,EmergencyService,yxs,DIST,12.694456100463867,33.66471858404133,cell
592,State,ax,DIST,14.064504623413086,33.65705032827456,cell
243,HospitalName,dexalb regional medical center,DIST,9.510472297668457,33.621935992614404,cell
521,EmergencyService,yxs,DIST,13.059427261352539,33.591032674913905,cell
10,City,sheffxeld,DIST,12.975629806518555,33.52708073694946,cell
492,EmergencyService,yxs,DIST,12.610091209411621,33.49266107257834,cell
131,HospitalName,crenshaw cxmmunity hxspital,DIST,13.866722106933594,33.49254396598515,cell
705,HospitalType,acutexcarexhospitals,DIST,11.537314414978027,33.372387563446736,cell
182,State,xl,DIST,8.381550788879395,33.2440660917778,cell
180,City,guntxrsvillx,DIST,10.606882095336914,33.23074745820983,cell
628,EmergencyService,yex,DIST,9.888838768005371,33.21893425167183,cell
654,HospitalName,wedowee hosxital,DIST,12.605804443359375,33.172483386670265,cell
916,PhoneNumber,x565435x00,DIST,6.519107341766357,33.136220265780096,cell
593,PhoneNumber,33x8972257,DIST,12.84229564666748,33.040564188584234,cell
884,State,xl,DIST,9.028802871704102,32.999729919892,cell
350,EmergencyService,yxs,DIST,23.66059112548828,32.934437776036994,cell
79,City,fxorence,DIST,8.441841125488281,32.904803998112826,cell
730,HospitalName,cullmxn regionxl medicxl center,DIST,12.6372709274292,32.869551667506144,cell
690,City,birminxham,DIST,10.199113845825195,32.8385760274982,cell
559,State,xl,DIST,13.876575469970703,32.78857015881542,cell
772,City,annxston,DIST,12.320230484008789,32.77930937175027,cell
337,HospitalName,floxers hospital,DIST,8.158178329467773,32.54905401087254,cell
140,State,ax,DIST,15.251633644104004,32.54441995923086,cell
46,State,xl,DIST,18.398483276367188,32.50581368109118,cell
342,PhoneNumber,xx479x5000,DIST,12.779397010803223,32.468820100014256,cell
579,EmergencyService,xes,DIST,10.089651107788086,32.43808289103014,cell
968,City,xntxrprisx,DIST,6.840651512145996,32.39534048785789,cell
418,EmergencyService,xo,DIST,9.732528686523438,32.3932911775153,cell
402,State,ax,DIST,12.396004676818848,32.242791221923454,cell
601,City,exba,DIST,9.246631622314453,32.231558629728475,cell
321,PhoneNumber,256235x900,DIST,10.127750396728516,32.222826774234214,cell
477,State,xl,DIST,10.885432243347168,32.20683308458025,cell
293,HospitalType,acuxe care hospixals,DIST,10.595824241638184,32.11855207190456,cell
410,EmergencyService,yxs,DIST,23.861360549926758,32.109385719517995,cell
88,City,florxncx,DIST,10.661246299743652,32.057126480649636,cell
217,PhoneNumber,2058x8x122,DIST,8.068985939025879,32.03478486835861,cell
384,HospitalName,univ ox south alabama medical center,DIST,20.525745391845703,32.0240298795067,cell
824,PhoneNumber,2564944xxx,DIST,14.839563369750977,32.01328756271305,cell
98,State,xl,DIST,16.44969940185547,31.976751296684963,cell
389,EmergencyService,yxs,DIST,11.567230224609375,31.956172248671912,cell
56,City,boxz,DIST,14.651838302612305,31.944130973249734,cell
756,City,andaluxia,DIST,10.801068305969238,31.917116095065865,cell
895,City,faxette,DIST,10.51970100402832,31.903971766953052,cell
701,State,xl,DIST,7.786406993865967,31.903787290723997,cell
474,City,ozarx,DIST,13.27983570098877,31.87662126427852,cell
736,City,cuxxman,DIST,20.25881576538086,31.80132275247224,cell
915,Address,600 souxh xhird sxreex,DIST,12.729665756225586,31.78631230966774,cell
228,PhoneNumber,2568453x50,DIST,13.32925796508789,31.742565925753535,cell
695,HospitalType,acute cxre hospitxls,DIST,15.135586738586426,31.733272566864894,cell
24,EmergencyService,yxs,DIST,19.335803985595703,31.718026402639314,cell
548,PhoneNumber,3342938xxx,DIST,9.265286445617676,31.686367359053747,cell
886,State,xl,DIST,8.344907760620117,31.686053015899496,cell
60,PhoneNumber,2x6x938310,DIST,7.457514762878418,31.547617255011886,cell
956,HospitalName,medixal xenter enterprise,DIST,16.102523803710938,31.546587184877225,cell
93,City,flxrence,DIST,11.43386459350586,31.494776073283955,cell
101,PhoneNumber,3344x33541,DIST,11.621983528137207,31.490631212469417,cell
266,HospitalType,acuxe care hospixals,DIST,9.062301635742188,31.481360723398023,cell
654,City,wxdowxx,DIST,12.605804443359375,31.42725479105444,cell
855,City,hamilxon,DIST,9.896520614624023,31.409275734287323,cell
367,City,winfielx,DIST,12.380971908569336,31.361145446337375,cell
228,City,fort payxe,DIST,13.32925796508789,31.352251397334783,cell
666,PhoneNumber,20593xx011,DIST,9.925671577453613,31.34802744757616,cell
751,PhoneNumber,334xxx8466,DIST,8.764232635498047,31.339046037051492,cell
985,City,onxonta,DIST,21.235332489013672,31.319007212871607,cell
50,State,xl,DIST,14.551206588745117,31.249581263555097,cell
448,HospitalName,xlxskx regionxl hospitxl,DIST,25.315324783325195,31.239521799829493,cell
57,Address,2505xuxsxhighwayx431xnorth,DIST,11.683652877807617,31.230482749022183,cell
504,State,ax,DIST,9.788511276245117,31.221161552732422,cell
3,City,birminghxm,DIST,20.440364837646484,31.19965798666569,cell
311,City,axxistox,DIST,14.967026710510254,31.189314387061177,cell
261,PhoneNumber,334x3xx221,DIST,13.10651683807373,31.181501160737795,cell
797,EmergencyService,yxs,DIST,9.242542266845703,31.10764794095419,cell
699,PhoneNumber,334x836541,DIST,6.313320159912109,31.104320679558594,cell
764,State,xl,DIST,14.63214111328125,31.103865417216266,cell
42,State,xl,DIST,10.741413116455078,31.097445443831347,cell
483,State,xl,DIST,10.335270881652832,31.094414881119658,cell
453,HospitalType,acute care hospitaxs,DIST,14.431657791137695,31.093398828220156,cell
57,PhoneNumber,2x6x938310,DIST,11.683652877807617,31.059015964715698,cell
7,City,birmingxam,DIST,22.45956802368164,31.005681497634825,cell
903,HospitalName,rivxrvixw rxgional mxdical cxntxr,DIST,15.534204483032227,30.96351175812716,cell
385,HospitalName,xniv of soxth alabama medical center,DIST,15.672709465026855,30.94800265509872,cell
485,City,xzark,DIST,9.843688011169434,30.922906660967552,cell
960,City,enterprxse,DIST,14.27172565460205,30.85438139858062,cell
561,PhoneNumber,33x2938000,DIST,9.755958557128906,30.838232330696712,cell
260,Address,33700 hxghway 43,DIST,8.641550064086914,30.825748040106095,cell
39,HospitalType,acxte care hospitals,DIST,9.004457473754883,30.801098338305355,cell
763,PhoneNumber,33422284xx,DIST,6.621058940887451,30.778219346127724,cell
65,PhoneNumber,2565x38310,DIST,16.422985076904297,30.775119150534444,cell
356,State,ax,DIST,21.68437385559082,30.75482422040644,cell
865,PhoneNumber,20x9216200,DIST,11.943840026855469,30.71859879138067,cell
511,HospitalType,acuxe care hospixals,DIST,12.926892280578613,30.69048733737154,cell
814,HospitalType,axute care hospitals,DIST,8.359857559204102,30.628249095304234,cell
456,CountyName,jxffxrson,DIST,11.311962127685547,30.549774338773723,cell
956,Address,400xnxedwardsxstreet,DIST,16.102523803710938,30.54095112909218,cell
855,PhoneNumber,x059x16x00,DIST,9.896520614624023,30.52217981690617,cell
917,CountyName,etowxh,DIST,9.385187149047852,30.512413261815862,cell
316,Address,301xeastx18thxst,DIST,7.776771068572998,30.467847048346673,cell
324,CountyName,caxhoun,DIST,7.374255180358887,30.44710475893923,cell
881,PhoneNumber,x0593x5966,DIST,6.973300933837891,30.4448842229792,cell
516,PhoneNumber,3342xx2100,DIST,7.318018436431885,30.44043668499728,cell
363,Address,1530xuxsxhighwayx43,DIST,8.473381996154785,30.412359712379473,cell
815,ZipCode,x590x,DIST,7.635789394378662,30.405690673950122,cell
44,ZipCode,x5957,DIST,13.573790550231934,30.362294741427547,cell
934,Address,515 miranda sx,DIST,10.800073623657227,30.360178818726038,cell
472,Address,126xhospitalxave,DIST,10.09814453125,30.32067262060872,cell
922,State,ax,DIST,12.556344985961914,30.316228192902855,cell
175,Address,8000 alabama xigxway 69,DIST,13.227638244628906,30.2910857494327,cell
562,PhoneNumber,3342938xxx,DIST,11.429256439208984,30.28468652106923,cell
70,ZipCode,3563x,DIST,8.710151672363281,30.249065002089758,cell
590,City,vxlley,DIST,9.593027114868164,30.21216972232438,cell
572,State,ax,DIST,19.08562469482422,30.14531702873883,cell
165,State,ax,DIST,12.090713500976562,30.124949132761216,cell
857,Address,1256 military street sxuth,DIST,15.503711700439453,30.117897622577743,cell
457,CountyName,xefferson,DIST,8.246891021728516,30.09548515097676,cell
471,PhoneNumber,334774x601,DIST,25.779762268066406,30.07574118667859,cell
278,State,xl,DIST,15.515958786010742,30.07543073339691,cell
247,PhoneNumber,xx46x66221,DIST,13.477182388305664,30.064046777984952,cell
653,EmergencyService,xo,DIST,15.13221549987793,30.048926925627942,cell
752,CountyName,coxington,DIST,8.283675193786621,30.021199391480064,cell
36,PhoneNumber,xx479x8701,DIST,7.835590362548828,30.020591715702775,cell
63,ZipCode,3595x,DIST,6.905572414398193,30.01204445512152,cell
490,HospitalType,acute caxe hospitals,DIST,16.862533569335938,30.009499785324692,cell
689,CountyName,jexxerson,DIST,10.028799057006836,29.99477155327042,cell
945,Address,515 mirxndx st,DIST,9.941827774047852,29.99412243918966,cell
393,Address,124xsxmemorialxdr,DIST,13.905734062194824,29.97354147139338,cell
877,HospitalType,acute care hoxpitalx,DIST,6.701007843017578,29.880434619326184,cell
652,Address,209 xorth maix street,DIST,8.131739616394043,29.8734951700592,cell
883,PhoneNumber,x0593x5966,DIST,12.747207641601562,29.83756244675267,cell
602,CountyName,coffxx,DIST,11.649662017822266,29.8186993931206,cell
497,HospitalType,acutx carx hospitals,DIST,14.053939819335938,29.809327027588544,cell
216,CountyName,jeffersxn,DIST,10.838178634643555,29.798220026456082,cell
45,ProviderNumber,x0005,DIST,12.460042953491211,29.789685003602663,cell
381,PhoneNumber,25x47x7xx0,DIST,8.280838012695312,29.77019009492301,cell
386,State,xl,DIST,14.131549835205078,29.744077859829993,cell
578,City,vallex,DIST,13.240549087524414,29.742260715620013,cell
280,HospitalType,acutexcarexhospitals,DIST,10.330550193786621,29.739366606316878,cell
94,Address,702xnxmainxst,DIST,19.784276962280273,29.716660596170136,cell
67,CountyName,mxrshxll,DIST,7.24836540222168,29.711920432506897,cell
849,Address,x0x0 lay dam road,DIST,14.487936973571777,29.64420824187765,cell
161,Address,201 pine sxreex norxhwesx,DIST,12.332052230834961,29.56161260831058,cell
252,CountyName,xlarke,DIST,9.613357543945312,29.538082196168787,cell
295,Address,1720 univxrsity blvd,DIST,19.670772552490234,29.528258808562484,cell
696,City,tallaxxee,DIST,18.805578231811523,29.480256614309063,cell
283,ZipCode,3x007,DIST,9.092995643615723,29.478129647585835,cell
437,City,anchoraxe,DIST,24.617351531982422,29.475890602615856,cell
588,HospitalType,acuxe care hospixals,DIST,8.37049674987793,29.461254165505565,cell
490,ZipCode,x6x60,DIST,16.862533569335938,29.460296529411647,cell
499,ZipCode,x5960,DIST,8.405447959899902,29.422485390383837,cell
692,CountyName,elmoxe,DIST,10.762259483337402,29.419247839729355,cell
290,ZipCode,x5007,DIST,11.737802505493164,29.415238485903014,cell
77,CountyName,laudexdale,DIST,6.150942802429199,29.394768190890385,cell
196,ZipCode,3x23x,DIST,9.246305465698242,29.36548831062435,cell
964,HospitalType,acutexcarexhospitals,DIST,8.65588092803955,29.347022180415934,cell
698,CountyName,elxore,DIST,12.101836204528809,29.328498581257556,cell
411,Address,124 s mxmorial dr,DIST,21.91143226623535,29.318098416170088,cell
106,Address,702 x maix st,DIST,8.371983528137207,29.310431194153306,cell
736,Address,1912xalabamaxhighwayx157,DIST,20.25881576538086,29.307122235521188,cell
81,ProviderNumber,1000x,DIST,9.078753471374512,29.273010992583362,cell
713,PhoneNumber,33x28365x1,DIST,11.957157135009766,29.22339669443161,cell
406,ZipCode,3x0x7,DIST,10.076348304748535,29.20655177643995,cell
232,ZipCode,359x8,DIST,7.783098220825195,29.193712534844153,cell
16,HospitalType,acuxe care hospixals,DIST,15.811634063720703,29.141984255756437,cell
923,ZipCode,3590x,DIST,8.387904167175293,29.08528305249939,cell
572,PhoneNumber,334x561400,DIST,19.08562469482422,29.023330738811936,cell
949,City,geoxgiana,DIST,16.259300231933594,28.984278843286745,cell
986,Address,150 gilxreath drive,DIST,14.283220291137695,28.952326380607417,cell
325,ZipCode,36x01,DIST,12.141950607299805,28.944335537973494,cell
465,CountyName,jexxerson,DIST,10.354743957519531,28.931343293737875,cell
976,HospitalType,acutexcarexhospitals,DIST,17.304651260375977,28.930555645731523,cell
98,HospitalType,acute care hosxitals,DIST,16.44969940185547,28.83347786086565,cell
729,HospitalType,acutexcarexhospitals,DIST,12.10454273223877,28.823286718586527,cell
767,Address,301 east 1xth st,DIST,10.548338890075684,28.802497237008712,cell
935,Address,515 miranxa st,DIST,16.08905792236328,28.793196924381856,cell
966,CountyName,cxffee,DIST,7.446010112762451,28.775550486143853,cell
275,Address,1000 fixst stxeet noxth,DIST,9.646167755126953,28.763396166145967,cell
253,ProviderNumber,1xx15,DIST,8.990407943725586,28.707259959563448,cell
527,CountyName,monxgomery,DIST,11.356802940368652,28.672210729165847,cell
213,HospitalType,acutx carx hospitals,DIST,15.195348739624023,28.665784821692565,cell
679,ZipCode,3x233,DIST,12.676965713500977,28.63804695570572,cell
793,ProviderNumber,100x9,DIST,7.832077980041504,28.63158965731241,cell
902,HospitalType,acutexcarexhospitals,DIST,16.073081970214844,28.63075853021349,cell
672,CountyName,jxffxrson,DIST,14.154273986816406,28.597109327719295,cell
532,HospitalType,acute care hosxitals,DIST,13.583505630493164,28.59675086790082,cell
926,HospitalType,acuxe care hospixals,DIST,11.81489372253418,28.57391174680551,cell
895,CountyName,fayexxe,DIST,10.51970100402832,28.558340359242894,cell
93,ZipCode,3563x,DIST,11.43386459350586,28.55646773222502,cell
136,CountyName,crxnshaw,DIST,11.069130897521973,28.540068940531803,cell
704,ProviderNumber,100x4,DIST,8.29575252532959,28.537775742582824,cell
264,Address,33700 highway x3,DIST,11.937797546386719,28.49426333686965,cell
513,CountyName,chxrokxx,DIST,11.353381156921387,28.42693108981222,cell
24,PhoneNumber,334793870x,DIST,19.335803985595703,28.406645587034056,cell
411,HospitalType,acute care hosxitals,DIST,21.91143226623535,28.38469410322329,cell
540,CountyName,montgomexy,DIST,9.532548904418945,28.332797177007105,cell
139,ZipCode,360x9,DIST,13.403986930847168,28.309039503908362,cell
312,CountyName,calhoxn,DIST,18.179445266723633,28.29607770374865,cell
415,Address,315 w hickxry st,DIST,13.583905220031738,28.2806404904257,cell
544,ZipCode,3x10x,DIST,12.036638259887695,28.275588577361383,cell
755,ProviderNumber,1xx36,DIST,8.779144287109375,28.25142994911711,cell
730,CountyName,cxllman,DIST,12.6372709274292,28.239346429274637,cell
238,CountyName,xe kalb,DIST,13.124177932739258,28.184737382421744,cell
393,PhoneNumber,33x361x267,DIST,13.905734062194824,28.170690616099094,cell
267,ZipCode,x6784,DIST,8.126883506774902,28.13193541772051,cell
750,ZipCode,3642x,DIST,7.669745445251465,28.13168396371354,cell
949,HospitalType,acute care hosxitals,DIST,16.259300231933594,28.13061646012404,cell
221,CountyName,dx kalb,DIST,12.616461753845215,28.107274775457935,cell
493,HospitalType,acute care hxspitals,DIST,17.928569793701172,28.091052418239386,cell
779,HospitalType,acutexcarexhospitals,DIST,12.60711669921875,28.07830015119902,cell
428,ZipCode,3x1x0,DIST,7.121659278869629,28.057505031657918,cell
685,ZipCode,x52xx,DIST,5.922980308532715,28.038195878462826,cell
72,CountyName,laudxrdalx,DIST,6.09505033493042,28.02855233936776,cell
375,ZipCode,3xx94,DIST,14.705745697021484,28.02804216566145,cell
366,ZipCode,3xx94,DIST,19.618255615234375,27.99948704863014,cell
484,Address,1x6 hospital ave,DIST,7.6139302253723145,27.942220835342983,cell
334,Address,4370xwestxmainxstreet,DIST,11.925082206726074,27.931800761049747,cell
933,ProviderNumber,1xx47,DIST,13.718395233154297,27.924386026037375,cell
